r_m,r_over_R,chord_m,twist_deg,phi_deg,alpha_deg,reynolds,cl,cd,a,a_prime,dthrust_n,dtorque_nm,local_solidity
9.203357563056215,0.2300839390764054,4.4,20.158930664016232,27.630239805781464,7.471309141765232,4436564.277784507,0.9985349803328833,0.008312211667894445,0.2322323477362131,0.08798401301261344,3445.9336035844804,16266.199107434744,0.15217962462208035
12.445109398523982,0.31112773496309953,4.4,14.81708714687798,22.939434449620897,8.122347302742916,5537490.447746757,1.0699926560431712,0.008734207423112046,0.1946153879252981,0.043849970863711195,5974.112340224772,30753.206246358815,0.11253926778456357
15.686861233991749,0.3921715308497937,4.4,11.245252940705791,18.88216058355718,7.636907642851389,6688134.224259432,1.017380089756488,0.008414882738567862,0.1923209723980494,0.027636910756870192,8508.339447148632,44420.67260670497,0.08928258357853054
18.928613069459516,0.4732153267364879,4.4,8.727354153154636,15.801170019248664,7.073815866094028,7873840.729319911,0.9533002455615004,0.008065765836978296,0.199927505115511,0.019591341386666954,11232.093036534174,58228.40045842219,0.07399187114603904
22.170364904927283,0.5542591226231821,4.4,6.871017388512993,13.449976605292235,6.578959216779243,9081967.23235489,0.8890699921449275,0.007784217161396376,0.21173196089732102,0.014874794235313333,14082.337901794655,71783.03786852262,0.06317277614575523
25.41211674039505,0.6353029185098762,4.4,5.451667633545019,11.585616536336738,6.13394890279172,10304574.727604922,0.8300616245101821,0.007535011385563363,0.22775941980060369,0.011880079468297599,17044.578726175474,84707.7962461069,0.05511400382410278
28.653868575862816,0.7163467143965704,4.4,4.333968246868106,10.04322936628506,5.709261119416953,11536445.445617441,0.7742713544197375,0.007308815782096816,0.2492589012225384,0.009860617129625947,20026.46875112744,96051.84842252679,0.04887868789865509
31.895620411330583,0.7973905102832646,4.4,3.4323569740064506,8.689757434008657,5.257400460002206,12773542.230815718,0.7151679801682885,0.0070738482392011465,0.27984805249838973,0.008439903076494146,22762.54507689075,103626.78850626576,0.043910840458558496
35.13737224679835,0.8784343061699588,4.4,2.6904253463574466,7.3387709157817005,4.648345569424254,14014075.39142419,0.6395476264323136,0.006788788594852429,0.3321587008661199,0.007613714934672806,24579.382816272224,101923.78206651188,0.03985965397103068
38.37912408226612,0.959478102056653,4.4,2.0696212146657396,5.304551497827762,3.2349302831620226,15234164.834741678,0.47865438692129286,0.0062422255991067075,0.4745847403409996,0.0067598125927631715,21820.721940926072,66753.6227011704,0.03649284689787485
