airfoil,blades,tip_speed_ratio,aoa_deg,hub_radius_ratio,chord_scale,twist_scale,cp,ct,power_w,thrust_n,torque_nm,root_moment_nm,solidity_mean,obj_neg_cp,obj_root_moment,obj_solidity
23012,4,5.92410661853225,4.075390701171246,0.1884512927467794,0.9542304951127114,1.0487971847981283,0.45010064603760214,0.815238541199813,1010213.3722498211,203303.88156111515,757892.7084049681,4158573.508976412,0.14338671641224454,-0.45010064603760214,4158573.508976412,0.14338671641224454
23012,4,5.818788200528693,4.3206650792898635,0.1953245502819797,0.9527578152183392,1.045621633239917,0.44765659797374,0.8167607784601175,1004727.9101464662,203683.49651801033,767420.5048437763,4115593.457972475,0.14154743499890754,-0.44765659797374,4115593.457972475,0.14154743499890754
23012,3,6.0796787255998375,4.045893420539414,0.19698126331926494,0.9452865971761991,1.0389193474713792,0.4412800385052109,0.7347732332642866,990416.2540740682,183237.47325536088,724026.7482510223,3705140.1034631073,0.10583622604062681,-0.4412800385052109,3705140.1034631073,0.10583622604062681
23012,3,6.32172599168412,4.0,0.20968059885080148,0.9313712103856276,1.0084103679816594,0.4382942498226297,0.7608382240044899,983714.900320393,189737.5508676619,691593.7561035391,3746606.5847254256,0.1034479357624202,-0.4382942498226297,3746606.5847254256,0.1034479357624202
23012,3,6.011690709911337,4.592156121228723,0.20873502653497802,0.9351777770081198,1.0233691536675642,0.4377700336729259,0.758923397105041,982538.3408796499,189260.03205384006,726390.8409953156,3743468.639156551,0.1036200485099443,-0.4377700336729259,3743468.639156551,0.1036200485099443
23012,2,6.4241831807439285,4.557812722788993,0.20967853582070617,0.9292016502560212,1.0046412268488736,0.4060544931328214,0.6504790828599,911355.4544656894,162216.22965114328,630503.2986380574,3214419.747605101,0.0689655402093321,-0.4060544931328214,3214419.747605101,0.0689655402093321
23012,2,6.577614550064717,5.022610467504897,0.22564610588574177,0.969592616814279,1.0655540032399857,0.4021339831681652,0.6728932622355612,902556.1967281133,167805.86929498607,609850.4015118524,3251758.957268127,0.06711247100531545,-0.4021339831681652,3251758.957268127,0.06711247100531545
2412,2,5.818788200528693,4.3206650792898635,0.183055801671185,0.9527578152183392,1.045621633239917,0.4006837581221115,0.6163157568234624,899301.2875268217,153696.59222082296,686894.6717921718,3208294.145997432,0.07244198730918323,-0.4006837581221115,3208294.145997432,0.07244198730918323
23012,2,5.665332658402587,5.433541161695236,0.18534881314244148,0.9386461245837897,1.029677422185672,0.3987419828442822,0.6138076672893641,894943.1348140097,153071.12579373948,702081.4634280159,3165429.0978149287,0.07212085804248675,-0.3987419828442822,3165429.0978149287,0.07212085804248675
23012,2,5.675408602198728,5.411535636284909,0.19029698962958155,0.9385344512579563,1.0353488917658986,0.39737507767111835,0.6115039178111538,891875.2301205065,152496.61761313354,698432.5164026131,3129431.085010959,0.07144275352045361,-0.39737507767111835,3129431.085010959,0.07144275352045361
23012,2,5.8591923187279535,4.704362973780942,0.18956204113305827,0.9443317014670398,1.0246555112401086,0.39619467557476323,0.5993934497872772,889225.9160329412,149476.51364067866,674515.3542300251,3065062.616852917,0.07154221563271905,-0.39619467557476323,3065062.616852917,0.07154221563271905
23012,2,6.604608497944795,5.990969719567858,0.23555413381275697,0.9706357466553251,1.0590000481142359,0.389762697655162,0.7167831051997553,874789.877867704,178751.10186776926,588673.0476083775,3373943.9354119343,0.06603663037886114,-0.389762697655162,3373943.9354119343,0.06603663037886114
2412,2,6.664967241790768,5.248001419779863,0.23028325952142595,1.0030031716053158,1.0831892031327244,0.37751221742541524,0.7075854176113309,847294.6963932513,176457.38598755444,565007.159011997,3322565.861650028,0.06660232847152917,-0.37751221742541524,3322565.861650028,0.06660232847152917
2412,2,6.264121894246488,6.057227804111421,0.22472573609560528,0.9743286624516715,1.0615227170432848,0.36646880845053575,0.6858421532915813,822508.6857090655,171035.05888865574,583576.4725562847,3208632.247075522,0.06721515447874474,-0.36646880845053575,3208632.247075522,0.06721515447874474
2412,2,5.316641122659977,7.963544416056287,0.22352179765181526,0.9230040181529477,0.9950279504721349,0.35882315965804495,0.6452491118649303,805348.664461163,160911.98144648343,673230.9582359756,3028489.886078259,0.06735020544032552,-0.35882315965804495,3028489.886078259,0.06735020544032552
2412,4,6.6591155599587974,5.24158850129434,0.2300415054318653,1.0026557039598492,1.0609238541960133,0.20399443076909018,0.706625932707901,457848.4915354002,176218.11000229558,305578.44600828184,2998800.273068262,0.13325726305379515,-0.20399443076909018,2998800.273068262,0.13325726305379515
