airfoil,blades,tip_speed_ratio,aoa_deg,hub_radius_ratio,chord_scale,twist_scale,cp,ct,power_w,thrust_n,torque_nm,root_moment_nm,solidity_mean,obj_neg_cp,obj_root_moment,obj_solidity
23012,4,5.92410661853225,4.075390701171246,0.1884512927467794,0.9542304951127114,1.0487971847981283,0.45010064603760214,0.815238541199813,1010213.3722498211,203303.88156111515,757892.7084049681,4158573.508976412,0.14338671641224454,-0.45010064603760214,4158573.508976412,0.14338671641224454
23012,4,5.818788200528693,4.3206650792898635,0.1953245502819797,0.9527578152183392,1.045621633239917,0.44765659797374,0.8167607784601175,1004727.9101464662,203683.49651801033,767420.5048437763,4115593.457972475,0.14154743499890754,-0.44765659797374,4115593.457972475,0.14154743499890754
23012,3,6.0796787255998375,4.045893420539414,0.19698126331926494,0.9452865971761991,1.0389193474713792,0.4412800385052109,0.7347732332642866,990416.2540740682,183237.47325536088,724026.7482510223,3705140.1034631073,0.10583622604062681,-0.4412800385052109,3705140.1034631073,0.10583622604062681
23012,4,5.924418474761733,4.407243291012499,0.19945707512796565,0.9566327475226858,1.036264075810273,0.44019623981725936,0.8302860250298126,987983.7582822181,207056.4174334559,741176.3609212877,4146716.2805241393,0.14047626434569715,-0.44019623981725936,4146716.2805241393,0.14047626434569715
23012,3,6.111554803164893,4.666239888178053,0.19422610353118208,0.9234812227958413,1.0205507887667467,0.4392794278142007,0.7776725680489319,985926.0501818578,193935.69326992534,716985.0713102714,3924940.014133443,0.10637734089253584,-0.4392794278142007,3924940.014133443,0.10637734089253584
23012,3,6.32172599168412,4.0,0.20968059885080148,0.9313712103856276,1.0084103679816594,0.4382942498226297,0.7608382240044899,983714.900320393,189737.5508676619,691593.7561035391,3746606.5847254256,0.1034479357624202,-0.4382942498226297,3746606.5847254256,0.1034479357624202
23012,3,6.011690709911337,4.592156121228723,0.20873502653497802,0.9351777770081198,1.0233691536675642,0.4377700336729259,0.758923397105041,982538.3408796499,189260.03205384006,726390.8409953156,3743468.639156551,0.1036200485099443,-0.4377700336729259,3743468.639156551,0.1036200485099443
23012,3,6.272647477497401,4.235722078146234,0.20945680317078325,0.9318708342332518,1.0039857197771875,0.43731972775269323,0.7702408962228386,981527.6667865843,192082.38573798563,695455.1808255926,3790248.7443241333,0.10348859121529888,-0.43731972775269323,3790248.7443241333,0.10348859121529888
23012,4,6.029292772415949,4.489905123141256,0.19406728937441078,0.9481833042479546,1.038113263904497,0.4337017634278993,0.8421845230828535,973407.447512506,210023.660414106,717539.4338238888,4237500.889506395,0.1418783932013694,-0.4337017634278993,4237500.889506395,0.1418783932013694
2412,3,5.754372714444342,5.2804323364233,0.18712020535815826,0.9356200898588974,1.0278562755647964,0.42120762310084353,0.8033874548195622,945365.3912651505,200348.46208563854,730161.9428702868,4075093.0420315857,0.10781370259060467,-0.42120762310084353,4075093.0420315857,0.10781370259060467
23012,2,6.4241831807439285,4.557812722788993,0.20967853582070617,0.9292016502560212,1.0046412268488736,0.4060544931328214,0.6504790828599,911355.4544656894,162216.22965114328,630503.2986380574,3214419.747605101,0.0689655402093321,-0.4060544931328214,3214419.747605101,0.0689655402093321
23012,2,6.180202444378482,5.337337198798488,0.20864771270758933,0.9720158107754797,1.0574237440012817,0.40345079480221213,0.6552904502202271,905511.6706496887,163416.08663843852,651191.6640626072,3256756.6169307553,0.06909065732601644,-0.40345079480221213,3256756.6169307553,0.06909065732601644
23012,2,6.532184074039999,4.9053889136960125,0.22323441034544217,0.9789279708496481,1.056382270691311,0.4026358503234853,0.6645175811672974,903682.5957143414,165717.14509238655,614858.2229985618,3223397.090659257,0.06738256620035771,-0.4026358503234853,3223397.090659257,0.06738256620035771
23012,2,7.21018685268297,4.906081058060491,0.21007272015688488,0.9673523908720791,1.0867721273501136,0.4023014165196548,0.7261039352751638,902931.9869255379,181075.5269751903,556577.9549123764,3595868.8698694687,0.06891788031635122,-0.4023014165196548,3595868.8698694687,0.06891788031635122
23012,2,6.577614550064717,5.022610467504897,0.22564610588574177,0.969592616814279,1.0655540032399857,0.4021339831681652,0.6728932622355612,902556.1967281133,167805.86929498607,609850.4015118524,3251758.957268127,0.06711247100531545,-0.4021339831681652,3251758.957268127,0.06711247100531545
23012,2,6.56329491095068,5.0870776762494865,0.22454243131153023,0.9963098320693282,1.0784693994927443,0.401740264092353,0.672770494596741,901672.5270893408,167775.25354727433,610582.5668513096,3260347.866595624,0.0672356629593264,-0.401740264092353,3260347.866595624,0.0672356629593264
2412,2,5.818788200528693,4.3206650792898635,0.183055801671185,0.9527578152183392,1.045621633239917,0.4006837581221115,0.6163157568234624,899301.2875268217,153696.59222082296,686894.6717921718,3208294.145997432,0.07244198730918323,-0.4006837581221115,3208294.145997432,0.07244198730918323
23012,2,7.7512250684693385,4.296931565497071,0.21053473441060105,0.9797793084814034,1.1038882975466926,0.400199805457801,0.7347160546628088,898215.0961220186,183223.21407717536,515024.01989521453,3646258.0987953595,0.06886214849044628,-0.400199805457801,3646258.0987953595,0.06886214849044628
23012,2,5.665332658402587,5.433541161695236,0.18534881314244148,0.9386461245837897,1.029677422185672,0.3987419828442822,0.6138076672893641,894943.1348140097,153071.12579373948,702081.4634280159,3165429.0978149287,0.07212085804248675,-0.3987419828442822,3165429.0978149287,0.07212085804248675
2412,2,5.925501073485424,5.723804123064301,0.20151384157682684,0.9423622657172553,1.048058846022373,0.39813119896144283,0.6824320372303262,893572.2813139517,170184.6454246324,670227.262157817,3435681.8983545806,0.06997621520375646,-0.39813119896144283,3435681.8983545806,0.06997621520375646
2412,2,7.47582569002881,4.0,0.21494323833938192,0.9196223679158839,1.1124576327100646,0.3981258619149024,0.7401254984046223,893560.3027579755,184572.21912811248,531229.497320379,3625640.189147877,0.06833725853947598,-0.3981258619149024,3625640.189147877,0.06833725853947598
2412,2,5.956794233944734,5.74072949645261,0.2015987676191166,0.9157550545099994,1.0477883187393704,0.3977974526410235,0.6864052161331967,892823.2155243447,171175.47528886024,666147.4317000916,3452873.3121249313,0.06996546537194118,-0.3977974526410235,3452873.3121249313,0.06996546537194118
23012,2,5.675408602198728,5.411535636284909,0.19029698962958155,0.9385344512579563,1.0353488917658986,0.39737507767111835,0.6115039178111538,891875.2301205065,152496.61761313354,698432.5164026131,3129431.085010959,0.07144275352045361,-0.39737507767111835,3129431.085010959,0.07144275352045361
23012,4,6.523590800991931,4.459660915428604,0.19332292415172028,0.9585757073334334,1.0358029629069376,0.39734035887598396,0.8644562118467539,891797.3066795563,215577.76580264437,607570.8465098399,4318723.593306578,0.14207547607816678,-0.39734035887598396,4318723.593306578,0.14207547607816678
23012,2,5.69814931914248,5.423876724130982,0.19711943535774987,0.9390286349304255,1.0374089035871192,0.3965927474875239,0.6126219819224443,890119.3552513205,152775.44002175643,694275.5975258573,3100706.0757764988,0.07053954246135134,-0.3965927474875239,3100706.0757764988,0.07053954246135134
23012,2,5.734577075910109,5.070118437556247,0.18617899479179947,0.9428162917016707,1.0347936124867294,0.3965256234901327,0.6026054671028627,889968.7010357347,150277.52531382523,689748.5894232163,3102627.6051630564,0.07200568547803618,-0.3965256234901327,3102627.6051630564,0.07200568547803618
23012,2,5.8591923187279535,4.704362973780942,0.18956204113305827,0.9443317014670398,1.0246555112401086,0.39619467557476323,0.5993934497872772,889225.9160329412,149476.51364067866,674515.3542300251,3065062.616852917,0.07154221563271905,-0.39619467557476323,3065062.616852917,0.07154221563271905
2412,2,6.512880273207783,5.088123647608341,0.22183429204628893,0.9811492137140289,1.0670379144497688,0.395713228643196,0.7103524217205709,888145.3485363612,177147.42043425288,606077.8786921318,3439984.4384337687,0.06754090974202645,-0.395713228643196,3439984.4384337687,0.06754090974202645
23012,2,5.50971371814907,6.820626679414642,0.2086206178777987,0.9282948179998775,1.0329763200741175,0.39562581227425214,0.648611001227982,887949.1497847309,161750.36815460143,716269.6407819316,3223349.8738168143,0.06909395544989244,-0.39562581227425214,3223349.8738168143,0.06909395544989244
23012,4,5.892317477382815,5.635436580927058,0.1995892102104417,0.9263204575841072,1.0473009666555424,0.39060725926006573,0.8498878156389297,876685.4259733853,211944.70462178814,661264.3812810091,4170700.733451265,0.14044242815181546,-0.39060725926006573,4170700.733451265,0.14044242815181546
23012,2,6.604608497944795,5.990969719567858,0.23555413381275697,0.9706357466553251,1.0590000481142359,0.389762697655162,0.7167831051997553,874789.877867704,178751.10186776926,588673.0476083775,3373943.9354119343,0.06603663037886114,-0.389762697655162,3373943.9354119343,0.06603663037886114
2412,2,5.470573083787288,6.712634099371241,0.20099354687687035,0.9243981558874146,1.023673923001393,0.38967520359459523,0.6639889210042946,874593.5047437036,165585.308019268,710543.8833867686,3341265.214380565,0.07004218540602418,-0.38967520359459523,3341265.214380565,0.07004218540602418
23012,2,7.345339074864853,5.138154502602707,0.22143413866323344,0.9737691799268791,1.1014038240616861,0.3891719234886274,0.7389492580012477,873463.9345075535,184278.88873759497,528506.8383607748,3571980.4532250706,0.06758637463621994,-0.3891719234886274,3571980.4532250706,0.06758637463621994
23012,2,5.329630339075807,7.912924294130715,0.21125399518460458,0.9067545075063751,1.0104172843749577,0.3888434774087886,0.6643156696248474,872726.7646660144,165666.7924676791,727777.6081953272,3278193.8780895835,0.068775661715788,-0.3888434774087886,3278193.8780895835,0.068775661715788
2412,2,5.406573866592885,6.820626679414642,0.2086206178777987,0.9282948179998775,1.0329763200741175,0.3863739284451542,0.6558701994413891,867184.0679192945,163560.66428171433,712863.9149442437,3261757.633348559,0.06909395544989244,-0.3863739284451542,3261757.633348559,0.06909395544989244
2412,2,5.354858720047698,7.472593786792713,0.21028870175452186,0.9159328743445726,1.0201070067679179,0.3784025851491122,0.6646196456924655,849293.0525134137,165742.59790538263,704899.2300799455,3272422.5099334535,0.06889180957699091,-0.3784025851491122,3272422.5099334535,0.06889180957699091
2412,2,6.664967241790768,5.248001419779863,0.23028325952142595,1.0030031716053158,1.0831892031327244,0.37751221742541524,0.7075854176113309,847294.6963932513,176457.38598755444,565007.159011997,3322565.861650028,0.06660232847152917,-0.37751221742541524,3322565.861650028,0.06660232847152917
2412,2,7.447745913004292,4.431864311353956,0.21333655039480837,0.9155163377215175,1.100951619832169,0.36947788477530086,0.7176916269962755,829262.3066339821,178977.66869254623,494862.5120617032,3395670.6620604577,0.06852712415637059,-0.36947788477530086,3395670.6620604577,0.06852712415637059
