alpha,cl,cd
-8.0,-0.7298,0.02684
-7.75,-0.7127,0.02549
-7.5,-0.6949,0.02467
-7.25,-0.6767,0.02368
-7.0,-0.6578,0.02286
-6.75,-0.6383,0.02149
-6.5,-0.6183,0.02092
-6.25,-0.5975,0.02034
-6.0,-0.5761,0.01932
-5.75,-0.5547,0.0189
-5.5,-0.5238,0.01813
-5.25,-0.4829,0.01766
-5.0,-0.4433,0.01697
-4.75,-0.404,0.01639
-4.5,-0.3616,0.01588
-4.25,-0.3259,0.0154
-4.0,-0.2848,0.01487
-3.75,-0.249,0.01442
-3.5,-0.21,0.01398
-3.25,-0.1671,0.01352
-3.0,-0.1352,0.01311
-2.75,-0.0941,0.0126
-2.25,-0.0274,0.01157
-2.0,0.0033,0.01112
-1.75,0.0323,0.01071
-1.5,0.0589,0.01043
-1.25,0.0881,0.01019
-1.0,0.1154,0.01011
-0.75,0.1492,0.01006
-0.5,0.1895,0.01001
-0.25,0.2319,0.01001
0.0,0.281,0.00999
0.5,0.3752,0.00984
0.75,0.3983,0.0098
1.0,0.4216,0.0098
1.25,0.4451,0.00984
1.5,0.4687,0.0099
1.75,0.4924,0.00999
2.0,0.516,0.0101
2.25,0.5397,0.01022
2.5,0.5634,0.01037
2.75,0.5871,0.01052
3.0,0.6109,0.01069
3.25,0.6347,0.01087
3.5,0.6584,0.01105
3.75,0.682,0.01125
4.0,0.7057,0.01144
4.25,0.7292,0.01165
4.5,0.7528,0.01185
4.75,0.7762,0.01206
5.0,0.7997,0.01228
5.25,0.823,0.01251
5.5,0.8461,0.01275
5.75,0.869,0.01302
6.0,0.8917,0.01328
6.25,0.9141,0.01357
6.5,0.9359,0.0139
6.75,0.9568,0.0143
7.0,0.9769,0.01478
7.25,0.9963,0.01534
7.5,1.0143,0.01603
7.75,1.0308,0.01687
8.0,1.0469,0.01777
8.25,1.0615,0.01879
8.5,1.0771,0.01972
8.75,1.0917,0.0207
9.0,1.1052,0.02175
9.25,1.1183,0.02278
9.5,1.1324,0.02372
9.75,1.1416,0.02491
10.0,1.155,0.02589
10.25,1.1669,0.02692
10.5,1.178,0.02835
10.75,1.1912,0.02942
11.0,1.2035,0.0306
11.25,1.2175,0.03228
11.5,1.2292,0.03347
11.75,1.2411,0.03477
12.0,1.2543,0.03617
12.25,1.2716,0.03818
12.5,1.2787,0.03974
12.75,1.2864,0.0414
13.0,1.2937,0.0431
13.25,1.3032,0.04483
13.5,1.3224,0.04735
13.75,1.3193,0.04981
14.0,1.3142,0.05252
14.25,1.3078,0.05555
14.5,1.3001,0.05886
14.75,1.2913,0.06243
15.0,1.2817,0.06623
15.25,1.2717,0.07025
15.5,1.2611,0.07449
15.75,1.2491,0.07911
16.0,1.2332,0.08446
16.25,1.2013,0.09267
16.5,1.1382,0.10764
16.75,1.0703,0.12635
17.0,1.0135,0.14527
17.25,0.9105,0.19836
17.5,0.8863,0.20798
17.75,0.8914,0.21183
18.0,0.9001,0.2148
