alpha,cl,cd
-8.0,-0.4328,0.00775
-7.75,-0.4044,0.00766
-7.5,-0.376,0.00752
-7.25,-0.3478,0.00742
-7.0,-0.319,0.00732
-6.75,-0.2907,0.00722
-6.5,-0.2621,0.00712
-6.25,-0.2335,0.00706
-6.0,-0.2051,0.00697
-5.75,-0.1763,0.0069
-5.5,-0.1479,0.00682
-5.25,-0.1193,0.00677
-5.0,-0.0905,0.0067
-4.75,-0.062,0.00666
-4.5,-0.0334,0.0066
-4.25,-0.0046,0.00656
-4.0,0.0238,0.00652
-3.75,0.0527,0.00648
-3.5,0.0813,0.00644
-3.25,0.1098,0.00641
-3.0,0.1387,0.00638
-2.75,0.1671,0.00635
-2.5,0.196,0.00632
-2.25,0.2246,0.00631
-2.0,0.2533,0.00628
-1.75,0.2821,0.00627
-1.5,0.3109,0.00625
-1.25,0.3395,0.00623
-1.0,0.3684,0.0062
-0.75,0.3969,0.00621
-0.5,0.426,0.00619
-0.25,0.4547,0.00617
0.0,0.4832,0.00617
0.25,0.5123,0.00614
0.5,0.541,0.00613
0.75,0.5694,0.00614
1.0,0.5984,0.00612
1.25,0.6272,0.0061
1.5,0.6556,0.00611
1.75,0.6841,0.00609
2.0,0.7127,0.00602
2.25,0.7407,0.00592
2.5,0.7685,0.00588
2.75,0.7969,0.00581
3.0,0.8251,0.00578
3.25,0.8526,0.00578
3.75,0.9077,0.00575
4.0,0.9346,0.00573
4.25,0.9599,0.00574
4.5,0.9836,0.00577
4.75,1.0103,0.00591
5.25,1.0761,0.00624
5.5,1.1016,0.00643
5.75,1.1264,0.00664
6.0,1.1515,0.00685
6.25,1.1767,0.00705
6.5,1.2015,0.00729
6.75,1.226,0.00754
7.0,1.2501,0.00781
7.25,1.2738,0.0081
7.5,1.2971,0.00841
7.75,1.3199,0.00873
8.0,1.3423,0.00907
8.25,1.3642,0.00942
8.5,1.3857,0.00979
8.75,1.4064,0.01017
9.0,1.4269,0.01053
9.25,1.4455,0.01091
9.5,1.4629,0.0113
9.75,1.4798,0.01171
10.0,1.4978,0.0121
10.25,1.5157,0.01249
10.5,1.533,0.01293
10.75,1.5495,0.0134
11.0,1.5673,0.01382
11.25,1.5834,0.01433
11.5,1.6002,0.01482
11.75,1.6163,0.01534
12.0,1.6323,0.01589
12.25,1.6477,0.01648
12.5,1.6628,0.01709
12.75,1.677,0.01778
13.0,1.6922,0.01843
13.25,1.7053,0.01921
13.5,1.7191,0.01997
13.75,1.7328,0.02076
14.0,1.7436,0.02176
14.25,1.7562,0.02266
14.5,1.7682,0.02363
14.75,1.7778,0.0248
15.0,1.7878,0.02597
15.25,1.7989,0.02709
15.5,1.8078,0.0284
15.75,1.8151,0.02989
16.0,1.8219,0.03148
16.25,1.8311,0.0329
16.5,1.8379,0.03456
16.75,1.8432,0.03641
17.0,1.8473,0.03843
17.25,1.8508,0.04055
17.5,1.8563,0.04248
17.75,1.8601,0.04464
18.0,1.8626,0.04699
