alpha,cl,cd
-8.0,-0.5931,0.06913
-7.75,-0.5777,0.06617
-7.5,-0.577,0.0631
-7.25,-0.5993,0.06004
-7.0,-0.5809,0.05628
-6.75,-0.5752,0.054
-6.5,-0.574,0.05083
-6.25,-0.5727,0.04876
-5.75,-0.5581,0.04449
-5.0,-0.5001,0.03243
-4.75,-0.4825,0.03018
-4.5,-0.4635,0.0282
-4.25,-0.4427,0.02636
-4.0,-0.4216,0.02495
-3.75,-0.401,0.02392
-3.5,-0.3796,0.023
-3.25,-0.3574,0.02212
-3.0,-0.3358,0.02169
-2.75,-0.2977,0.02015
-2.5,-0.2465,0.01935
-2.25,-0.1982,0.01808
-2.0,-0.1482,0.01703
-1.75,-0.1132,0.01391
-1.5,-0.0786,0.01367
-1.25,-0.0188,0.01411
-1.0,0.0669,0.01446
-0.75,0.164,0.01441
-0.5,0.2236,0.01394
-0.25,0.2626,0.01354
0.0,0.2817,0.01329
0.25,0.3011,0.01311
0.5,0.321,0.01301
0.75,0.3417,0.01298
1.0,0.3629,0.01302
1.25,0.3845,0.01311
1.5,0.4062,0.01328
1.75,0.4276,0.01349
2.0,0.4491,0.01377
2.25,0.4706,0.01409
2.5,0.4923,0.01443
2.75,0.514,0.0148
3.0,0.5361,0.01519
3.25,0.5585,0.01558
3.5,0.581,0.01595
3.75,0.6036,0.01633
4.0,0.6263,0.01675
4.25,0.6495,0.01723
4.5,0.6724,0.01763
4.75,0.6958,0.01816
5.0,0.7186,0.01858
5.5,0.7652,0.01964
5.75,0.7889,0.02017
6.0,0.8117,0.02079
6.25,0.8348,0.02135
6.5,0.8596,0.02208
6.75,0.881,0.02267
7.0,0.9042,0.02328
7.25,0.9287,0.02414
7.5,0.9496,0.02483
7.75,0.9728,0.02548
8.0,0.9968,0.02644
8.25,1.0165,0.02727
8.5,1.0393,0.02796
8.75,1.0627,0.02899
9.0,1.0804,0.02996
9.25,1.103,0.03064
9.5,1.1251,0.03173
9.75,1.1405,0.0328
10.0,1.1637,0.03334
10.25,1.1815,0.03455
10.5,1.197,0.03548
10.75,1.224,0.03573
11.0,1.2318,0.03721
11.25,1.2522,0.03748
11.5,1.2699,0.03827
11.75,1.28,0.03911
12.0,1.3076,0.03894
12.25,1.3063,0.04043
12.5,1.3357,0.03975
12.75,1.3283,0.04161
13.0,1.3462,0.04137
13.25,1.3418,0.0429
13.5,1.3372,0.04415
13.75,1.3485,0.04463
14.0,1.3299,0.04746
14.25,1.3443,0.04768
14.5,1.3264,0.05127
14.75,1.3067,0.05545
15.0,1.3261,0.05552
15.25,1.2982,0.06128
15.5,1.2688,0.06799
15.75,1.2336,0.07626
16.0,1.1773,0.08893
16.5,1.1925,0.09254
17.5,0.8396,0.20652
17.75,0.8325,0.20977
18.0,0.8451,0.21245
