alpha,cl,cd
-8.0,-0.6448,0.00911
-7.75,-0.6184,0.00886
-7.5,-0.5916,0.00866
-7.25,-0.5644,0.00851
-7.0,-0.5374,0.00827
-6.75,-0.5103,0.00811
-6.5,-0.4827,0.00794
-6.25,-0.4555,0.00777
-6.0,-0.4276,0.00763
-5.75,-0.4003,0.00746
-5.5,-0.3724,0.00733
-5.25,-0.3447,0.00718
-5.0,-0.3171,0.00706
-4.75,-0.2891,0.00695
-4.5,-0.2613,0.00681
-4.25,-0.2334,0.00671
-4.0,-0.2056,0.00662
-3.75,-0.1777,0.00652
-3.5,-0.1498,0.00641
-3.25,-0.1218,0.00632
-3.0,-0.0939,0.00624
-2.75,-0.0659,0.00616
-2.5,-0.038,0.00609
-2.25,-0.01,0.00602
-2.0,0.0179,0.00594
-1.75,0.0459,0.00589
-1.5,0.0739,0.00583
-1.25,0.1019,0.00579
-1.0,0.1298,0.00573
-0.75,0.1578,0.00568
-0.5,0.1857,0.00563
-0.25,0.2135,0.00556
0.0,0.2411,0.00547
0.25,0.2688,0.00538
0.5,0.2964,0.00532
0.75,0.3241,0.00527
1.0,0.3519,0.00523
1.25,0.3796,0.00518
1.5,0.4072,0.00515
1.75,0.4345,0.00513
2.0,0.4617,0.00512
2.25,0.4886,0.00511
2.5,0.5151,0.00512
2.75,0.5412,0.00516
3.0,0.5667,0.00523
3.25,0.5931,0.00536
3.5,0.6218,0.00551
3.75,0.653,0.00571
4.0,0.6836,0.0059
4.25,0.7185,0.00616
4.5,0.7534,0.00641
4.75,0.7884,0.0067
5.0,0.8167,0.007
5.25,0.8395,0.00726
5.5,0.8621,0.00756
5.75,0.8852,0.00784
6.0,0.9082,0.00816
6.25,0.932,0.00845
6.5,0.9563,0.00874
6.75,0.9807,0.00904
7.0,1.0053,0.00933
7.25,1.0301,0.00963
7.5,1.0549,0.00993
7.75,1.0799,0.0102
8.0,1.1049,0.01048
8.25,1.1294,0.01079
8.5,1.1545,0.01105
8.75,1.1788,0.01138
9.0,1.2035,0.01165
9.25,1.2274,0.012
9.5,1.2519,0.01227
9.75,1.2755,0.01261
10.0,1.2991,0.01294
10.25,1.3227,0.01326
10.5,1.3453,0.01364
10.75,1.3679,0.01401
11.0,1.3907,0.01434
11.25,1.4125,0.01473
11.5,1.4332,0.01517
11.75,1.4537,0.01561
12.0,1.4747,0.01598
12.25,1.4945,0.0164
12.5,1.512,0.01686
12.75,1.5269,0.0174
13.0,1.5409,0.018
13.25,1.5572,0.01849
13.5,1.5727,0.01903
13.75,1.5874,0.01963
14.0,1.6011,0.02031
14.25,1.6139,0.02107
14.5,1.6253,0.02194
14.75,1.6342,0.02302
15.0,1.6434,0.02412
15.25,1.6553,0.02507
15.5,1.6662,0.02613
15.75,1.6761,0.0273
16.0,1.685,0.0286
16.25,1.6927,0.03007
16.5,1.6992,0.03168
16.75,1.7043,0.0335
17.0,1.708,0.03553
17.25,1.7096,0.03783
17.5,1.7085,0.04052
17.75,1.7045,0.04363
18.0,1.6979,0.04717
