alpha,cl,cd
-8.0,-0.469,0.02555
-7.75,-0.4358,0.02428
-7.5,-0.4067,0.02298
-7.25,-0.3708,0.02151
-7.0,-0.333,0.01997
-6.75,-0.2927,0.01903
-6.5,-0.2652,0.01834
-6.25,-0.2318,0.01719
-6.0,-0.1961,0.01653
-5.75,-0.1624,0.01596
-5.5,-0.1369,0.01513
-5.25,-0.1045,0.01464
-5.0,-0.0753,0.01396
-4.75,-0.0482,0.01358
-4.5,-0.0176,0.01301
-4.25,0.0082,0.01268
-4.0,0.0371,0.0122
-3.75,0.064,0.01198
-3.5,0.0922,0.01156
-3.25,0.1187,0.01126
-3.0,0.1473,0.01095
-2.75,0.1737,0.01072
-2.5,0.2014,0.01051
-2.25,0.2288,0.01026
-2.0,0.2557,0.01008
-1.5,0.3106,0.00972
-1.25,0.3371,0.00952
-1.0,0.3634,0.00925
-0.75,0.3879,0.00878
-0.5,0.4095,0.00829
-0.25,0.4302,0.00795
0.0,0.4866,0.00791
0.25,0.5139,0.00801
0.5,0.5393,0.00812
0.75,0.5648,0.00824
1.0,0.5905,0.00838
1.25,0.6162,0.00851
1.5,0.6421,0.00865
1.75,0.6681,0.0088
2.0,0.6942,0.00898
2.25,0.7203,0.00912
2.5,0.7466,0.00929
2.75,0.7729,0.00948
3.0,0.7992,0.00963
3.25,0.8256,0.00984
3.5,0.8518,0.01
3.75,0.8782,0.0102
4.0,0.9044,0.01037
4.25,0.9306,0.01058
4.5,0.9567,0.01076
4.75,0.9827,0.01097
5.0,1.0085,0.01117
5.25,1.034,0.01136
5.5,1.0593,0.0116
5.75,1.084,0.01176
6.0,1.1084,0.01197
6.25,1.1324,0.01221
6.5,1.1563,0.01239
6.75,1.1801,0.01261
7.0,1.2034,0.01284
7.25,1.2262,0.0131
7.5,1.2484,0.01336
7.75,1.27,0.01365
8.0,1.2906,0.014
8.25,1.309,0.01447
8.5,1.3267,0.01498
8.75,1.3419,0.01563
9.0,1.3542,0.01641
9.25,1.3625,0.01732
9.5,1.3693,0.01838
9.75,1.3751,0.01956
10.0,1.3801,0.02084
10.25,1.3849,0.02218
10.5,1.3894,0.02358
10.75,1.395,0.02496
11.0,1.4013,0.02634
11.25,1.4045,0.02801
11.5,1.4109,0.02951
11.75,1.4109,0.03158
12.0,1.418,0.03315
12.25,1.4203,0.0352
12.5,1.4175,0.03778
12.75,1.4232,0.03968
13.0,1.4266,0.04185
13.25,1.4254,0.04451
13.5,1.4212,0.04753
13.75,1.4251,0.04985
14.0,1.4271,0.0524
14.25,1.4285,0.05507
14.5,1.4278,0.05798
14.75,1.4241,0.06106
15.0,1.4272,0.06373
15.25,1.4292,0.06653
15.5,1.4306,0.0694
15.75,1.4318,0.0723
16.0,1.433,0.07514
16.25,1.4344,0.07763
16.5,1.4354,0.08057
16.75,1.4356,0.0838
17.0,1.4356,0.08705
17.25,1.4353,0.09039
17.5,1.435,0.09373
17.75,1.4354,0.09693
18.0,1.4368,0.09989
