alpha,cl,cd
-8.0,-0.9025,0.01283
-7.75,-0.8815,0.01251
-7.5,-0.8605,0.01222
-7.25,-0.8401,0.01186
-7.0,-0.8189,0.0116
-6.75,-0.7983,0.01127
-6.5,-0.7772,0.01099
-6.0,-0.7153,0.01039
-5.75,-0.6803,0.01004
-5.5,-0.6448,0.00969
-5.25,-0.6085,0.00938
-5.0,-0.5757,0.00902
-4.75,-0.5409,0.00869
-4.5,-0.5049,0.00836
-4.25,-0.4681,0.00804
-4.0,-0.4367,0.00775
-3.75,-0.4042,0.00746
-3.5,-0.3734,0.00719
-3.25,-0.345,0.00695
-3.0,-0.3176,0.00673
-2.75,-0.2903,0.00654
-2.5,-0.2641,0.00636
-2.25,-0.2379,0.00619
-2.0,-0.2116,0.00605
-1.75,-0.1852,0.00593
-1.5,-0.1589,0.00582
-1.25,-0.1325,0.00574
-1.0,-0.1059,0.00567
-0.75,-0.0795,0.00562
-0.5,-0.053,0.00559
-0.25,-0.0265,0.00556
0.25,0.0265,0.00556
0.5,0.053,0.00559
0.75,0.0795,0.00561
1.0,0.106,0.00567
1.25,0.1325,0.00575
1.5,0.159,0.00583
1.75,0.1853,0.00593
2.0,0.2117,0.00605
2.25,0.238,0.00619
2.5,0.2641,0.00636
2.75,0.2904,0.00654
3.0,0.3177,0.00673
3.25,0.345,0.00695
3.5,0.3734,0.00719
3.75,0.4042,0.00746
4.0,0.4367,0.00775
4.25,0.4681,0.00804
4.5,0.5049,0.00836
4.75,0.5409,0.00869
5.0,0.5757,0.00902
5.25,0.6085,0.00938
5.5,0.6448,0.00969
5.75,0.6803,0.01004
6.0,0.7153,0.01038
6.25,0.7501,0.01072
6.5,0.7772,0.01099
6.75,0.7983,0.01127
7.0,0.8189,0.01159
7.25,0.8401,0.01185
7.5,0.8604,0.01221
7.75,0.8815,0.01251
8.0,0.9024,0.01283
8.25,0.9225,0.01327
8.5,0.9442,0.01355
8.75,0.9651,0.01394
9.0,0.9849,0.01445
9.25,1.0067,0.0148
9.5,1.0284,0.01519
9.75,1.0479,0.01581
10.0,1.0693,0.01628
10.25,1.0914,0.01669
10.5,1.1129,0.01716
10.75,1.1327,0.01779
11.0,1.1497,0.01866
11.25,1.1706,0.01916
11.5,1.1904,0.01973
11.75,1.2098,0.02031
12.0,1.2281,0.02095
12.25,1.2416,0.02192
12.5,1.2526,0.02298
12.75,1.2664,0.02367
13.0,1.2783,0.02448
13.25,1.289,0.0254
13.5,1.2989,0.02643
13.75,1.3081,0.02756
14.0,1.3158,0.02887
14.25,1.3214,0.03045
14.5,1.3227,0.03253
14.75,1.318,0.03539
15.0,1.3146,0.03839
15.25,1.3175,0.04093
15.5,1.3185,0.04386
15.75,1.3175,0.04718
16.0,1.3142,0.05095
16.25,1.3085,0.05518
16.5,1.3007,0.05984
16.75,1.2906,0.06491
17.0,1.2778,0.07049
17.25,1.2639,0.07639
17.5,1.2479,0.08274
17.75,1.2312,0.08936
18.0,1.2134,0.09628
