alpha,cl,cd
-8.0,-0.4022,0.01301
-7.75,-0.375,0.01262
-7.5,-0.349,0.01228
-7.25,-0.3228,0.01185
-7.0,-0.2962,0.0114
-6.75,-0.2695,0.01113
-6.5,-0.2419,0.01088
-6.25,-0.2156,0.01043
-6.0,-0.1883,0.01018
-5.75,-0.1606,0.01
-5.5,-0.1336,0.00964
-5.25,-0.1059,0.00945
-5.0,-0.0784,0.00922
-4.75,-0.0507,0.00902
-4.5,-0.023,0.00885
-4.25,0.0047,0.00866
-4.0,0.0324,0.0085
-3.75,0.0603,0.00837
-3.5,0.088,0.00821
-3.0,0.1435,0.00798
-2.75,0.1713,0.00789
-2.5,0.1988,0.0078
-2.25,0.2265,0.00771
-2.0,0.2542,0.00762
-1.75,0.2817,0.00756
-1.25,0.3366,0.00746
-1.0,0.3641,0.0074
-0.75,0.3915,0.00735
-0.5,0.4188,0.00729
-0.25,0.4459,0.00719
0.0,0.4721,0.00695
0.25,0.4975,0.00667
0.5,0.5221,0.0064
0.75,0.5426,0.00616
1.0,0.5815,0.00618
1.5,0.6431,0.0064
1.75,0.6694,0.00653
2.0,0.6958,0.00665
2.25,0.7227,0.00676
2.75,0.7763,0.00701
3.25,0.83,0.00726
3.5,0.8564,0.00742
3.75,0.8837,0.00752
4.0,0.9102,0.00768
4.25,0.9372,0.0078
4.5,0.9637,0.00796
4.75,0.9905,0.00809
5.25,1.043,0.00841
5.5,1.069,0.00858
5.75,1.0946,0.00878
6.0,1.1207,0.00895
6.25,1.1463,0.00914
6.5,1.1712,0.00938
6.75,1.1954,0.00967
7.0,1.2189,0.01
7.25,1.2419,0.01036
7.5,1.2635,0.01082
7.75,1.2839,0.01135
8.0,1.3031,0.01196
8.25,1.3212,0.01262
8.5,1.3379,0.01335
8.75,1.3537,0.0141
9.0,1.3687,0.01485
9.25,1.3827,0.01551
9.5,1.3957,0.01622
9.75,1.4091,0.01691
10.0,1.423,0.01759
10.25,1.4366,0.0183
10.5,1.4489,0.01909
10.75,1.4627,0.01981
11.0,1.4744,0.02068
11.25,1.4875,0.02148
11.5,1.4963,0.02258
11.75,1.5095,0.02342
12.0,1.5203,0.02445
12.25,1.526,0.0259
12.5,1.5378,0.02693
12.75,1.5476,0.02816
13.0,1.5548,0.02963
13.25,1.5561,0.03165
13.5,1.5641,0.03319
13.75,1.5712,0.03484
14.0,1.5771,0.03664
14.25,1.5808,0.03871
14.5,1.5799,0.04132
14.75,1.5764,0.04431
15.0,1.5809,0.04655
15.25,1.5831,0.04911
15.5,1.5839,0.05186
15.75,1.5839,0.05479
16.0,1.5828,0.05793
16.25,1.579,0.06144
16.5,1.5719,0.06546
16.75,1.5606,0.07011
17.0,1.5528,0.07436
17.25,1.5504,0.07796
17.5,1.5469,0.08174
17.75,1.5423,0.08573
18.0,1.5373,0.08981
