alpha,cl,cd
-8.0,-0.8852,0.01477
-7.75,-0.864,0.01443
-7.5,-0.8446,0.01391
-7.25,-0.8239,0.01354
-7.0,-0.804,0.0131
-6.75,-0.7829,0.0128
-6.5,-0.763,0.01237
-6.25,-0.7424,0.01201
-6.0,-0.7215,0.01167
-5.75,-0.7006,0.01134
-5.5,-0.6794,0.01102
-5.25,-0.6577,0.01073
-5.0,-0.6275,0.01037
-4.75,-0.5906,0.01
-4.5,-0.553,0.00966
-4.25,-0.5165,0.00932
-4.0,-0.4803,0.00899
-3.75,-0.4423,0.00869
-3.5,-0.4043,0.00841
-3.25,-0.3694,0.00813
-3.0,-0.332,0.00786
-2.75,-0.2987,0.00761
-2.5,-0.2665,0.00737
-2.25,-0.2374,0.00716
-2.0,-0.2081,0.00695
-1.75,-0.1815,0.00677
-1.5,-0.1553,0.00662
-1.25,-0.1294,0.00648
-1.0,-0.1035,0.00637
-0.75,-0.0776,0.00628
-0.5,-0.0518,0.00621
-0.25,-0.0258,0.00617
0.0,0.0,0.00616
0.25,0.0259,0.00617
0.5,0.0518,0.00621
0.75,0.0776,0.00628
1.0,0.1035,0.00637
1.25,0.1294,0.00648
1.5,0.1553,0.00662
1.75,0.1815,0.00677
2.0,0.2081,0.00695
2.25,0.2374,0.00716
2.75,0.2987,0.00761
3.0,0.332,0.00786
3.25,0.3694,0.00813
3.5,0.4043,0.00841
3.75,0.4423,0.00869
4.0,0.4804,0.00899
4.25,0.5165,0.00932
4.75,0.5906,0.01
5.0,0.6274,0.01036
5.25,0.6577,0.01073
5.5,0.6793,0.01102
5.75,0.7005,0.01134
6.0,0.7215,0.01167
6.25,0.7423,0.01201
6.5,0.7629,0.01237
6.75,0.7829,0.01279
7.0,0.8039,0.0131
7.25,0.8239,0.01354
7.5,0.8446,0.01391
7.75,0.8639,0.01443
8.0,0.8851,0.01477
8.25,0.9033,0.01543
8.5,0.9244,0.01582
8.75,0.9452,0.01625
9.0,0.9628,0.01702
9.25,0.9841,0.01749
9.5,1.005,0.01798
9.75,1.0249,0.01859
10.0,1.0405,0.01963
10.25,1.0614,0.02016
10.5,1.0812,0.02076
10.75,1.1002,0.0214
11.0,1.1156,0.02238
11.25,1.1301,0.02345
11.5,1.147,0.02423
11.75,1.1622,0.02509
12.0,1.175,0.02595
12.25,1.1861,0.02686
12.5,1.1954,0.02795
12.75,1.199,0.0298
13.0,1.2073,0.03104
13.25,1.2149,0.03239
13.5,1.221,0.03397
13.75,1.2258,0.03577
14.0,1.2296,0.03775
14.25,1.2327,0.03992
14.5,1.2348,0.04231
14.75,1.236,0.04494
15.0,1.2355,0.04788
15.25,1.2323,0.05127
15.5,1.224,0.05542
15.75,1.2115,0.06034
16.0,1.2013,0.06525
16.25,1.1886,0.07072
16.5,1.1733,0.07683
16.75,1.1558,0.08358
17.0,1.1354,0.09114
17.25,1.1122,0.09952
17.5,1.0848,0.10905
17.75,1.0514,0.12034
18.0,1.0029,0.1357
