alpha,cl,cd
-8.0,-0.638,0.00983
-7.75,-0.6096,0.00962
-7.5,-0.5844,0.00935
-7.25,-0.5577,0.00911
-7.0,-0.5308,0.00893
-6.75,-0.5043,0.00869
-6.5,-0.4773,0.00849
-6.25,-0.4502,0.00831
-6.0,-0.423,0.00812
-5.75,-0.3956,0.00796
-5.5,-0.3683,0.00778
-5.25,-0.3409,0.00762
-5.0,-0.3132,0.00748
-4.75,-0.2858,0.00732
-4.5,-0.2581,0.00718
-4.25,-0.2303,0.00706
-4.0,-0.2027,0.00694
-3.5,-0.1473,0.0067
-3.25,-0.1196,0.00659
-3.0,-0.0918,0.00649
-2.75,-0.0641,0.00639
-2.5,-0.0364,0.0063
-2.25,-0.0086,0.00622
-2.0,0.0191,0.00614
-1.75,0.0469,0.00607
-1.5,0.0746,0.006
-1.25,0.1023,0.00593
-1.0,0.13,0.00587
-0.75,0.1577,0.00579
-0.5,0.1851,0.00569
-0.25,0.2124,0.00558
0.0,0.2398,0.00549
0.25,0.2672,0.00542
0.5,0.2946,0.00536
0.75,0.322,0.00532
1.0,0.3492,0.00528
1.25,0.3763,0.00525
1.5,0.4032,0.00521
1.75,0.4299,0.00519
2.0,0.456,0.0052
2.25,0.4818,0.00525
2.5,0.5075,0.00532
2.75,0.535,0.00541
3.0,0.5654,0.00553
3.25,0.598,0.00567
3.5,0.6302,0.00583
3.75,0.6658,0.00602
4.0,0.7018,0.00622
4.25,0.7378,0.00647
4.5,0.7683,0.00671
4.75,0.7911,0.00695
5.0,0.8141,0.00721
5.25,0.8369,0.00749
5.5,0.8596,0.00781
5.75,0.8827,0.00811
6.0,0.9056,0.00847
6.25,0.9294,0.00878
6.5,0.953,0.00914
6.75,0.977,0.00948
7.0,1.0013,0.00981
7.25,1.0256,0.01014
7.5,1.05,0.01047
7.75,1.0746,0.01077
8.0,1.0991,0.01109
8.25,1.1233,0.01142
8.5,1.1474,0.01175
8.75,1.1718,0.01206
9.0,1.1953,0.01243
9.25,1.2194,0.01273
9.5,1.2426,0.0131
9.75,1.266,0.01345
10.0,1.2892,0.0138
10.25,1.311,0.01423
10.5,1.3337,0.01459
10.75,1.3559,0.01496
11.0,1.3767,0.01542
11.25,1.3969,0.01589
11.5,1.418,0.01628
11.75,1.4378,0.01672
12.0,1.4556,0.01722
12.25,1.4693,0.01785
12.5,1.4854,0.01834
12.75,1.5018,0.01884
13.0,1.5171,0.0194
13.25,1.5312,0.02005
13.5,1.544,0.0208
13.75,1.5541,0.02176
14.0,1.5645,0.02272
14.25,1.5774,0.02355
14.5,1.5894,0.02447
14.75,1.6001,0.02551
15.0,1.6102,0.02667
15.25,1.619,0.02795
15.5,1.6265,0.0294
15.75,1.6323,0.03106
16.0,1.6349,0.03309
16.25,1.632,0.03577
16.5,1.6368,0.03778
16.75,1.6418,0.03984
17.0,1.6443,0.04224
17.25,1.6455,0.04485
17.5,1.645,0.04775
17.75,1.6429,0.05095
18.0,1.6393,0.0544
