alpha,cl,cd
-8.0,-0.415,0.01049
-7.75,-0.388,0.01021
-7.5,-0.3604,0.01002
-7.25,-0.3328,0.00986
-7.0,-0.3054,0.00961
-6.75,-0.2777,0.00947
-6.5,-0.2499,0.00926
-6.25,-0.2223,0.00911
-6.0,-0.1942,0.00897
-5.75,-0.1667,0.00881
-5.5,-0.1385,0.0087
-5.25,-0.1111,0.00855
-5.0,-0.0828,0.00844
-4.75,-0.0552,0.00832
-4.5,-0.0272,0.00822
-4.25,0.0007,0.00813
-4.0,0.0283,0.00804
-3.75,0.0565,0.00796
-3.5,0.0842,0.00789
-3.25,0.1119,0.00782
-3.0,0.1399,0.00775
-2.75,0.1676,0.00772
-2.5,0.1953,0.00767
-2.25,0.2232,0.00762
-2.0,0.2508,0.00759
-1.75,0.2785,0.00756
-1.5,0.3064,0.00753
-1.25,0.3339,0.00752
-1.0,0.3618,0.0075
-0.75,0.3895,0.00748
-0.5,0.4169,0.00748
0.0,0.4721,0.00744
0.25,0.4999,0.00737
0.5,0.5266,0.00727
0.75,0.5537,0.00709
1.0,0.58,0.00701
1.25,0.6072,0.00689
1.5,0.6334,0.00682
1.75,0.6589,0.00673
2.0,0.6835,0.00664
2.25,0.7067,0.00666
2.5,0.7386,0.00673
2.75,0.7758,0.00683
3.25,0.8501,0.00708
3.5,0.8745,0.00716
3.75,0.8983,0.0073
4.0,0.9237,0.00738
4.25,0.9494,0.00748
4.5,0.9744,0.00762
4.75,1.0005,0.00773
5.0,1.0266,0.00784
5.25,1.0515,0.00802
5.5,1.0783,0.00811
5.75,1.1035,0.00828
6.0,1.1294,0.00842
6.25,1.154,0.00862
6.5,1.1795,0.00878
6.75,1.2037,0.009
7.0,1.2279,0.00922
7.25,1.2519,0.00944
7.5,1.275,0.00972
7.75,1.2972,0.01002
8.0,1.3194,0.01032
8.25,1.3407,0.01064
8.5,1.3604,0.01099
8.75,1.3787,0.01137
9.0,1.3963,0.0118
9.25,1.4133,0.01227
9.5,1.4295,0.01279
9.75,1.445,0.01335
10.0,1.4599,0.01395
10.25,1.4737,0.0146
10.5,1.4872,0.01529
10.75,1.5002,0.01602
11.0,1.5126,0.01679
11.25,1.5246,0.01761
11.5,1.536,0.01847
11.75,1.5468,0.0194
12.0,1.5572,0.02039
12.25,1.5683,0.02136
12.5,1.5783,0.02243
12.75,1.5874,0.02361
13.0,1.5977,0.02473
13.25,1.6049,0.02611
13.5,1.6144,0.02738
13.75,1.6203,0.02894
14.0,1.6292,0.03033
14.25,1.6345,0.03205
14.5,1.6415,0.03369
14.75,1.647,0.03551
15.0,1.6495,0.03766
15.25,1.6557,0.03954
15.5,1.6592,0.04173
15.75,1.66,0.04422
16.0,1.663,0.04657
16.25,1.6658,0.04899
16.5,1.6661,0.05171
16.75,1.6637,0.05477
17.0,1.663,0.05771
17.25,1.6637,0.06052
17.5,1.6621,0.06366
17.75,1.6582,0.06708
18.0,1.6522,0.07082
