alpha,cl,cd
-8.0,-0.4121,0.01098
-7.75,-0.385,0.01072
-7.5,-0.358,0.01041
-7.25,-0.3312,0.01001
-7.0,-0.3037,0.00978
-6.75,-0.276,0.00961
-6.5,-0.2486,0.0093
-6.25,-0.2211,0.00908
-6.0,-0.1932,0.00891
-5.75,-0.1656,0.0087
-5.5,-0.1377,0.00849
-5.25,-0.1097,0.00839
-5.0,-0.0819,0.00816
-4.75,-0.0539,0.00805
-4.5,-0.0261,0.00789
-4.25,0.0021,0.00778
-4.0,0.0298,0.00765
-3.75,0.0579,0.00756
-3.5,0.0859,0.00744
-3.25,0.1137,0.00736
-3.0,0.1416,0.00729
-2.75,0.1696,0.00721
-2.5,0.1975,0.00714
-2.25,0.2253,0.00709
-2.0,0.253,0.00704
-1.5,0.3087,0.00695
-1.25,0.3365,0.00691
-1.0,0.3642,0.00689
-0.75,0.3918,0.00686
-0.5,0.4194,0.00685
-0.25,0.4472,0.00681
0.0,0.4748,0.00676
0.25,0.502,0.00665
0.75,0.555,0.0062
1.0,0.5805,0.00599
1.25,0.6021,0.00578
1.5,0.6365,0.00576
1.75,0.6724,0.00587
2.0,0.6993,0.00597
2.25,0.7262,0.00607
2.5,0.7533,0.00618
2.75,0.7804,0.00629
3.0,0.8077,0.00639
3.25,0.8346,0.00652
3.5,0.8621,0.00661
3.75,0.8889,0.00676
4.0,0.9164,0.00685
4.25,0.9431,0.007
4.5,0.9704,0.00711
4.75,0.9968,0.00728
5.0,1.0237,0.00741
5.25,1.0503,0.00756
5.5,1.0765,0.00774
5.75,1.1024,0.00794
6.0,1.128,0.00817
6.25,1.1532,0.00841
6.5,1.1778,0.0087
6.75,1.2014,0.00906
7.0,1.2246,0.00944
7.25,1.2467,0.0099
7.5,1.2676,0.01043
7.75,1.2878,0.011
8.0,1.307,0.01162
8.25,1.3256,0.01227
8.5,1.3438,0.0129
8.75,1.3624,0.01348
9.0,1.3802,0.01408
9.25,1.3977,0.01463
9.5,1.4139,0.01515
9.75,1.4298,0.01567
10.0,1.4451,0.01624
10.25,1.4601,0.01683
10.5,1.476,0.01738
10.75,1.4899,0.01805
11.0,1.5053,0.01865
11.25,1.5188,0.01936
11.5,1.5319,0.02013
11.75,1.5461,0.02084
12.0,1.5579,0.02173
12.25,1.5684,0.02273
12.5,1.5815,0.02359
12.75,1.5927,0.0246
13.0,1.6013,0.02582
13.25,1.6086,0.02721
13.5,1.6197,0.02834
13.75,1.6289,0.02965
14.0,1.6364,0.03115
14.25,1.6416,0.0329
14.5,1.6419,0.03515
14.75,1.6481,0.03694
15.0,1.654,0.03881
15.25,1.6585,0.04086
15.5,1.662,0.04309
15.75,1.6641,0.04553
16.0,1.6646,0.04823
16.25,1.6619,0.05134
16.5,1.6547,0.05511
16.75,1.652,0.05843
17.0,1.6521,0.06143
17.25,1.6507,0.06467
17.5,1.6479,0.06814
17.75,1.6439,0.07185
18.0,1.6391,0.07567
