alpha,cl,cd
-8.0,-0.7221,0.0163
-7.75,-0.6862,0.01583
-7.5,-0.6538,0.01506
-7.25,-0.6199,0.01458
-7.0,-0.5837,0.01424
-6.75,-0.5478,0.01356
-6.5,-0.5105,0.01319
-6.25,-0.4791,0.01266
-6.0,-0.4423,0.01232
-5.75,-0.4049,0.01181
-5.5,-0.3676,0.01142
-5.25,-0.3379,0.01111
-5.0,-0.3058,0.01072
-4.75,-0.2724,0.01036
-4.5,-0.2453,0.01006
-4.25,-0.2156,0.00976
-4.0,-0.1882,0.00948
-3.75,-0.1609,0.00919
-3.5,-0.1341,0.00894
-3.25,-0.1068,0.00869
-3.0,-0.0806,0.00845
-2.75,-0.0537,0.00823
-2.5,-0.027,0.00801
-2.0,0.0258,0.00756
-1.75,0.0518,0.0073
-1.5,0.0776,0.00707
-1.25,0.1032,0.00685
-1.0,0.1288,0.00668
-0.75,0.1542,0.00653
-0.5,0.1793,0.00641
-0.25,0.2042,0.00633
0.0,0.229,0.0063
0.25,0.2541,0.00633
0.5,0.281,0.0064
0.75,0.3113,0.00652
1.0,0.3444,0.00665
1.25,0.3814,0.00679
1.5,0.4216,0.00693
1.75,0.4615,0.00708
2.0,0.504,0.0072
2.25,0.5391,0.00733
2.5,0.563,0.00744
2.75,0.5869,0.00756
3.0,0.6108,0.00769
3.25,0.6346,0.00783
3.5,0.6584,0.00798
3.75,0.6823,0.00814
4.25,0.7302,0.00846
4.5,0.7541,0.00864
4.75,0.778,0.00883
5.0,0.8022,0.00902
5.25,0.8263,0.00924
5.5,0.8498,0.00952
5.75,0.8736,0.00981
6.0,0.8967,0.01016
6.25,0.9194,0.01057
6.5,0.942,0.01101
6.75,0.9641,0.01149
7.0,0.9859,0.01201
7.25,1.0075,0.01256
7.5,1.0289,0.01312
7.75,1.0497,0.01373
8.0,1.071,0.01427
8.25,1.092,0.01483
8.5,1.1127,0.01541
8.75,1.1324,0.01604
9.0,1.1532,0.01656
9.25,1.1724,0.01719
9.5,1.1916,0.01778
9.75,1.209,0.01847
10.0,1.2276,0.01904
10.25,1.2401,0.01995
10.5,1.2556,0.02055
10.75,1.2704,0.02119
11.0,1.2818,0.02207
11.25,1.2902,0.02316
11.5,1.3037,0.02396
11.75,1.3154,0.0249
12.0,1.3255,0.02598
12.25,1.3292,0.02758
12.5,1.3364,0.02901
12.75,1.3467,0.03025
13.0,1.3554,0.03164
13.25,1.363,0.03321
13.5,1.3684,0.03502
13.75,1.369,0.03735
14.0,1.3681,0.03993
14.25,1.3736,0.04198
14.5,1.3774,0.04427
14.75,1.3799,0.04674
15.0,1.3817,0.04937
15.25,1.3829,0.05212
15.5,1.3833,0.05502
15.75,1.3826,0.05812
16.0,1.3798,0.0615
16.25,1.3731,0.06518
16.5,1.3705,0.06887
16.75,1.3671,0.07273
17.0,1.3626,0.07678
17.25,1.3572,0.08103
17.5,1.3512,0.08548
17.75,1.3442,0.09013
18.0,1.3367,0.09495
