alpha,cl,cd
-8.0,-0.406,0.0121
-7.75,-0.3802,0.01168
-7.5,-0.3529,0.01144
-7.25,-0.3256,0.01126
-7.0,-0.2991,0.0109
-6.75,-0.2718,0.01069
-6.5,-0.2445,0.01046
-6.25,-0.2172,0.01024
-6.0,-0.1894,0.0101
-5.75,-0.1622,0.00985
-5.5,-0.1344,0.00973
-5.25,-0.1071,0.00951
-5.0,-0.0794,0.00938
-4.75,-0.0518,0.00921
-4.5,-0.0243,0.00908
-4.25,0.0036,0.00896
-4.0,0.0309,0.00884
-3.75,0.0587,0.00873
-3.5,0.0863,0.00865
-3.25,0.1137,0.00855
-3.0,0.1414,0.00846
-2.75,0.1688,0.0084
-2.5,0.1964,0.00834
-2.0,0.2512,0.00825
-1.75,0.2786,0.0082
-1.25,0.3332,0.00814
-1.0,0.3605,0.0081
-0.75,0.3878,0.00806
-0.5,0.4147,0.00805
-0.25,0.442,0.00798
0.0,0.4686,0.00787
0.25,0.4945,0.00769
0.5,0.5206,0.00754
0.75,0.5462,0.00743
1.0,0.5718,0.00732
1.25,0.5961,0.00723
1.5,0.619,0.00717
1.75,0.6455,0.00721
2.0,0.6819,0.00735
2.25,0.7217,0.00746
2.5,0.7642,0.00763
2.75,0.7925,0.00771
3.0,0.8163,0.00781
3.25,0.8393,0.00797
3.5,0.8646,0.00804
3.75,0.8895,0.00816
4.0,0.9136,0.00833
4.25,0.9398,0.00841
4.5,0.9653,0.00854
4.75,0.9897,0.00873
5.0,1.0164,0.00881
5.25,1.0418,0.00896
5.5,1.0666,0.00914
5.75,1.0927,0.00925
6.0,1.117,0.00945
6.25,1.1428,0.00958
6.5,1.167,0.00977
6.75,1.1919,0.00994
7.25,1.2395,0.01036
7.5,1.2623,0.01061
7.75,1.2843,0.01089
8.0,1.3066,0.01115
8.25,1.3267,0.01146
8.5,1.3455,0.01181
8.75,1.3635,0.01221
9.0,1.3821,0.0126
9.25,1.3997,0.01306
9.5,1.4164,0.01356
9.75,1.4321,0.01412
10.0,1.447,0.01473
10.25,1.4606,0.01542
10.5,1.4735,0.01616
10.75,1.4855,0.01696
11.0,1.4965,0.01784
11.25,1.5071,0.01877
11.5,1.5171,0.01975
11.75,1.5267,0.0208
12.0,1.5357,0.02191
12.25,1.5442,0.0231
12.5,1.5517,0.02441
12.75,1.5582,0.02582
13.0,1.5662,0.02718
13.25,1.572,0.02875
13.5,1.5779,0.03036
13.75,1.5834,0.03206
14.0,1.5878,0.03392
14.25,1.5919,0.03586
14.5,1.5958,0.03789
14.75,1.5969,0.04026
15.0,1.6015,0.04237
15.25,1.6023,0.04488
15.5,1.6016,0.04764
15.75,1.6043,0.05011
16.0,1.6038,0.05297
16.25,1.5995,0.05629
16.5,1.5996,0.0592
16.75,1.5989,0.06225
17.0,1.5957,0.0656
17.25,1.5892,0.06943
17.5,1.5837,0.07319
17.75,1.5825,0.07645
18.0,1.5786,0.08005
