alpha,cl,cd
-8.0,-0.9243,0.01061
-7.75,-0.8917,0.01035
-7.5,-0.8592,0.01004
-7.25,-0.8263,0.00979
-7.0,-0.7931,0.00951
-6.75,-0.7596,0.00924
-6.5,-0.7255,0.00899
-6.25,-0.6925,0.00873
-6.0,-0.6609,0.00846
-5.75,-0.6288,0.0082
-5.5,-0.5968,0.00794
-5.25,-0.5677,0.0077
-5.0,-0.5395,0.00746
-4.75,-0.5123,0.00724
-4.5,-0.4858,0.00701
-4.25,-0.4598,0.00679
-4.0,-0.4335,0.0066
-3.75,-0.4074,0.00639
-3.5,-0.381,0.00623
-3.25,-0.3544,0.00605
-3.0,-0.3276,0.00592
-2.75,-0.3008,0.00578
-2.5,-0.2738,0.00566
-2.25,-0.2466,0.00556
-2.0,-0.2195,0.00547
-1.5,-0.165,0.00534
-1.25,-0.1376,0.00529
-1.0,-0.1101,0.00525
-0.75,-0.0826,0.00522
-0.5,-0.0551,0.0052
-0.25,-0.0275,0.00518
0.0,0.0,0.00519
0.25,0.0276,0.00518
0.5,0.0551,0.0052
0.75,0.0827,0.00522
1.0,0.1102,0.00525
1.25,0.1376,0.00529
1.5,0.165,0.00534
2.0,0.2196,0.00547
2.25,0.2467,0.00556
2.5,0.2738,0.00566
2.75,0.3009,0.00578
3.0,0.3276,0.00592
3.25,0.3545,0.00605
3.5,0.381,0.00623
3.75,0.4075,0.0064
4.0,0.4336,0.0066
4.25,0.4599,0.00679
4.5,0.4859,0.00701
4.75,0.5123,0.00724
5.0,0.5396,0.00746
5.25,0.5677,0.0077
5.5,0.5968,0.00794
5.75,0.6288,0.0082
6.0,0.6608,0.00846
6.25,0.6925,0.00873
6.5,0.7255,0.00899
6.75,0.7596,0.00924
7.0,0.7932,0.00951
7.25,0.8263,0.00979
7.5,0.8593,0.01004
7.75,0.8918,0.01035
8.0,0.9243,0.01061
8.25,0.9494,0.01088
8.5,0.9697,0.01119
8.75,0.9914,0.0114
9.0,1.0128,0.01166
9.25,1.0336,0.01201
9.5,1.0555,0.01229
9.75,1.0779,0.01256
10.0,1.1,0.01288
10.25,1.1217,0.01328
10.5,1.1438,0.01368
10.75,1.1672,0.01399
11.0,1.1904,0.01432
11.25,1.2132,0.01472
11.5,1.2348,0.01521
11.75,1.256,0.01575
12.0,1.2787,0.01613
12.25,1.3009,0.01655
12.5,1.3225,0.017
12.75,1.3434,0.01749
13.0,1.3633,0.01804
13.25,1.3811,0.01875
13.5,1.3965,0.01958
13.75,1.4156,0.02008
14.0,1.4332,0.02064
14.25,1.4479,0.02122
14.5,1.461,0.02188
14.75,1.4733,0.02263
15.0,1.4845,0.02347
15.25,1.4945,0.02444
15.5,1.5031,0.02557
15.75,1.5092,0.02696
16.0,1.5114,0.02877
16.25,1.5086,0.0312
16.5,1.5091,0.03355
16.75,1.5135,0.03569
17.0,1.5155,0.03821
17.25,1.5155,0.04115
17.5,1.5124,0.04461
17.75,1.5065,0.04863
18.0,1.4964,0.05338
