alpha,cl,cd
-8.0,-0.4271,0.00821
-7.75,-0.3991,0.00801
-7.5,-0.3711,0.00787
-7.25,-0.3428,0.00773
-7.0,-0.3147,0.0076
-6.75,-0.2864,0.00742
-6.5,-0.2583,0.0073
-6.25,-0.2299,0.0072
-6.0,-0.2016,0.00706
-5.75,-0.1734,0.00696
-5.5,-0.1448,0.00687
-5.25,-0.1166,0.00676
-4.75,-0.0598,0.0066
-4.5,-0.0314,0.00652
-4.25,-0.003,0.00647
-4.0,0.0253,0.00641
-3.75,0.0538,0.00635
-3.5,0.0822,0.0063
-3.25,0.1106,0.00625
-3.0,0.1389,0.00623
-2.75,0.1673,0.00619
-2.5,0.1957,0.00615
-2.25,0.2241,0.00612
-2.0,0.2525,0.00611
-1.75,0.2808,0.0061
-1.5,0.3092,0.00607
-1.25,0.3376,0.00605
-1.0,0.3659,0.00604
-0.75,0.3942,0.00604
-0.5,0.4227,0.00602
-0.25,0.451,0.00602
0.0,0.4794,0.00601
0.25,0.5078,0.006
0.5,0.536,0.00599
0.75,0.5645,0.00597
1.0,0.5927,0.00595
1.25,0.621,0.00589
1.5,0.6489,0.00572
1.75,0.6766,0.0056
2.0,0.7046,0.00548
2.25,0.7319,0.00538
2.5,0.7586,0.00523
2.75,0.7816,0.00508
3.0,0.8141,0.00512
3.25,0.8461,0.00519
3.5,0.8735,0.00532
3.75,0.9012,0.00541
4.0,0.9285,0.00554
4.25,0.9554,0.0057
4.5,0.9821,0.00587
4.75,1.0087,0.00606
5.0,1.0349,0.00626
5.25,1.0609,0.00649
5.5,1.0863,0.00677
5.75,1.1115,0.00705
6.0,1.1361,0.00738
6.25,1.1604,0.00773
6.5,1.184,0.00813
6.75,1.2069,0.00857
7.0,1.2299,0.009
7.25,1.2527,0.00943
7.5,1.2753,0.00987
7.75,1.2981,0.01026
8.0,1.3209,0.01065
8.25,1.3438,0.01102
8.5,1.3664,0.01139
8.75,1.3887,0.01176
9.0,1.4109,0.01212
9.25,1.4334,0.01244
9.5,1.4549,0.01281
9.75,1.4763,0.01316
10.0,1.4971,0.01353
10.25,1.5172,0.01389
10.5,1.5348,0.01428
10.75,1.5529,0.01463
11.0,1.5696,0.01507
11.25,1.5864,0.01551
11.5,1.6036,0.01594
11.75,1.6193,0.01645
12.0,1.6342,0.01702
12.25,1.6507,0.01751
12.5,1.6658,0.01809
12.75,1.6799,0.01875
13.0,1.6925,0.0195
13.25,1.7064,0.02021
13.5,1.7201,0.02094
13.75,1.733,0.02175
14.0,1.7446,0.02267
14.25,1.7545,0.02372
14.5,1.7628,0.02494
14.75,1.7742,0.02597
15.0,1.7846,0.0271
15.25,1.794,0.02835
15.5,1.8022,0.02972
15.75,1.8094,0.03123
16.0,1.8151,0.0329
16.25,1.8195,0.03474
16.5,1.8222,0.03683
16.75,1.8247,0.03901
17.0,1.8294,0.04102
17.25,1.8332,0.04318
17.5,1.8363,0.04548
17.75,1.8382,0.04796
18.0,1.8389,0.0506
