alpha,cl,cd
-8.0,-0.4212,0.00948
-7.75,-0.3932,0.0093
-7.5,-0.3654,0.00919
-7.25,-0.3377,0.00895
-7.0,-0.3099,0.00881
-6.75,-0.2817,0.00867
-6.5,-0.254,0.00851
-6.25,-0.2257,0.0084
-5.75,-0.1697,0.00814
-5.5,-0.1419,0.00803
-5.25,-0.1136,0.00793
-5.0,-0.0856,0.00783
-4.75,-0.0575,0.00776
-4.5,-0.0294,0.00765
-4.25,-0.0014,0.0076
-4.0,0.0268,0.00751
-3.75,0.0549,0.00744
-3.25,0.111,0.00733
-3.0,0.1391,0.00729
-2.5,0.1953,0.00721
-2.25,0.2232,0.00718
-1.75,0.2794,0.00713
-1.5,0.3073,0.00712
-1.0,0.3635,0.00709
-0.25,0.4473,0.00707
0.0,0.4756,0.00703
0.25,0.5032,0.00704
0.5,0.5315,0.00699
0.75,0.559,0.00694
1.0,0.5864,0.00679
1.25,0.6138,0.00666
1.5,0.6407,0.00661
1.75,0.6684,0.00651
2.0,0.6953,0.00643
2.25,0.7212,0.00638
2.5,0.7468,0.00628
2.75,0.7705,0.00625
3.0,0.7987,0.00634
3.25,0.8341,0.00642
3.5,0.8716,0.00652
3.75,0.9079,0.00667
4.0,0.9329,0.00675
4.25,0.9583,0.00683
4.5,0.9832,0.00697
4.75,1.0094,0.00706
5.0,1.0353,0.00718
5.25,1.061,0.00732
5.5,1.087,0.00745
5.75,1.1125,0.00762
6.0,1.1378,0.0078
6.25,1.1633,0.00797
6.5,1.1878,0.00819
6.75,1.2123,0.00842
7.0,1.2368,0.00864
7.25,1.2605,0.00889
7.5,1.2836,0.00918
7.75,1.306,0.0095
8.0,1.3279,0.00983
8.25,1.3492,0.01018
8.5,1.3695,0.01055
8.75,1.3879,0.01095
9.0,1.405,0.01139
9.5,1.4377,0.01236
9.75,1.4533,0.0129
10.0,1.4685,0.01346
10.25,1.4833,0.01406
10.5,1.4972,0.0147
10.75,1.5114,0.01535
11.0,1.5257,0.01599
11.25,1.5393,0.01669
11.5,1.5522,0.01745
11.75,1.5637,0.01831
12.0,1.5774,0.01907
12.25,1.5896,0.01993
12.5,1.6004,0.0209
12.75,1.6125,0.02183
13.0,1.6223,0.02294
13.25,1.6339,0.02395
13.5,1.6427,0.02519
13.75,1.6533,0.02635
14.0,1.6618,0.02769
14.25,1.6696,0.02912
14.5,1.6778,0.03056
14.75,1.6837,0.03225
15.0,1.6909,0.03388
15.25,1.6977,0.03558
15.5,1.7021,0.03756
15.75,1.7055,0.0397
16.0,1.7111,0.04168
16.25,1.7143,0.04391
16.5,1.7156,0.04641
16.75,1.7156,0.04911
17.0,1.719,0.05148
17.25,1.7202,0.0541
17.5,1.7196,0.05699
17.75,1.7171,0.06014
18.0,1.7125,0.06359
