alpha,cl,cd
-8.0,-0.6827,0.04074
-7.75,-0.6786,0.03746
-7.5,-0.67,0.03469
-7.25,-0.6586,0.03245
-7.0,-0.6454,0.03043
-6.75,-0.6279,0.02849
-6.5,-0.6093,0.02732
-6.25,-0.5904,0.02617
-6.0,-0.5703,0.02466
-5.75,-0.5498,0.02382
-5.5,-0.5284,0.02285
-5.25,-0.5068,0.02201
-5.0,-0.4843,0.02122
-4.75,-0.462,0.02065
-4.5,-0.4398,0.02
-4.25,-0.4175,0.01945
-4.0,-0.3954,0.019
-3.75,-0.3734,0.01862
-3.5,-0.3362,0.01817
-3.25,-0.2919,0.01772
-3.0,-0.2484,0.01729
-2.75,-0.2078,0.01682
-2.5,-0.1641,0.01632
-2.25,-0.1293,0.01583
-2.0,-0.0928,0.01545
-1.75,-0.059,0.01525
-1.5,-0.0225,0.01525
-1.25,0.0381,0.01534
-1.0,0.1193,0.01534
-0.75,0.2076,0.01508
-0.5,0.2467,0.01479
-0.25,0.2813,0.0145
0.0,0.3136,0.01422
0.25,0.3432,0.01397
0.5,0.3704,0.01376
0.75,0.3959,0.0136
1.0,0.4204,0.01349
1.25,0.4444,0.01343
1.5,0.4682,0.01341
1.75,0.492,0.01343
2.0,0.5159,0.01348
2.25,0.5398,0.01356
2.5,0.5638,0.01367
2.75,0.5877,0.01381
3.0,0.6117,0.01396
3.25,0.6357,0.01413
3.5,0.6598,0.01432
3.75,0.6838,0.01452
4.0,0.7077,0.01473
4.25,0.7316,0.01494
4.5,0.7553,0.01517
4.75,0.779,0.01539
5.0,0.8025,0.01562
5.25,0.826,0.01585
5.5,0.8494,0.01609
5.75,0.8714,0.01634
6.0,0.8934,0.0166
6.25,0.9155,0.01688
6.5,0.936,0.01715
6.75,0.9563,0.01747
7.0,0.9754,0.01784
7.25,0.9933,0.01829
7.5,1.0098,0.01889
7.75,1.0241,0.01971
8.0,1.0372,0.02072
8.25,1.0493,0.0219
8.5,1.0611,0.02318
8.75,1.0741,0.02441
9.0,1.0876,0.02568
9.25,1.102,0.02699
9.5,1.1175,0.0284
9.75,1.1334,0.02963
10.0,1.1514,0.03117
10.25,1.1691,0.03251
10.5,1.189,0.03429
10.75,1.2059,0.03575
11.0,1.231,0.03799
11.25,1.242,0.03959
11.5,1.256,0.04145
11.75,1.2716,0.04325
12.0,1.288,0.04616
12.25,1.2849,0.04817
12.5,1.2819,0.05063
12.75,1.277,0.05335
13.0,1.2699,0.05623
13.25,1.2613,0.05926
13.5,1.2531,0.06238
13.75,1.2533,0.06515
14.0,1.2477,0.06851
14.25,1.2367,0.07275
14.5,1.2155,0.07771
14.75,0.8791,0.14915
15.0,0.8865,0.15193
15.25,0.8971,0.15383
15.75,0.8611,0.18537
16.0,0.8716,0.1906
16.25,0.8471,0.19484
16.5,0.8569,0.19782
16.75,0.8809,0.20101
17.0,0.8949,0.20651
17.25,0.8708,0.20948
17.5,0.8776,0.21279
17.75,0.8897,0.21578
18.0,0.9225,0.2214
