alpha,cl,cd
-8.0,-0.4004,0.09675
-7.75,-0.4358,0.09581
-7.5,-0.4693,0.09292
-7.25,-0.4618,0.08933
-7.0,-0.4544,0.08752
-6.75,-0.4563,0.08559
-6.5,-0.4551,0.08287
-6.25,-0.4273,0.07339
-6.0,-0.3989,0.07106
-5.75,-0.3699,0.06421
-5.5,-0.3377,0.06114
-5.25,-0.3044,0.03356
-5.0,-0.2673,0.03055
-4.75,-0.2227,0.02917
-4.25,-0.1478,0.02617
-4.0,-0.1134,0.02511
-3.75,-0.0726,0.02417
-3.25,0.0021,0.02249
-3.0,0.048,0.02169
-2.75,0.0785,0.02117
-2.5,0.1232,0.02038
-2.25,0.1565,0.01984
-2.0,0.1945,0.01913
-1.5,0.2615,0.01767
-1.25,0.2904,0.01668
-1.0,0.3338,0.0154
-0.75,0.3825,0.01499
-0.5,0.4076,0.01497
-0.25,0.4353,0.01491
0.0,0.4702,0.01465
0.25,0.4954,0.01468
0.5,0.5222,0.01471
0.75,0.5519,0.01465
1.0,0.5802,0.01466
1.25,0.6059,0.01478
1.5,0.6333,0.01488
1.75,0.6629,0.01491
2.0,0.6876,0.01512
2.25,0.7142,0.01531
2.5,0.7436,0.01542
2.75,0.7678,0.0157
3.0,0.7945,0.01593
3.25,0.8223,0.01611
3.5,0.8468,0.01643
3.75,0.8753,0.01664
4.0,0.8998,0.01696
4.25,0.9258,0.01726
4.5,0.9531,0.0175
4.75,0.9771,0.01787
5.0,1.0058,0.01811
5.25,1.0287,0.01847
5.5,1.0543,0.0188
5.75,1.0813,0.01905
6.0,1.104,0.01941
6.25,1.1295,0.01969
6.5,1.1563,0.01988
6.75,1.178,0.02014
7.0,1.2004,0.02036
7.25,1.2228,0.02056
7.5,1.245,0.02074
7.75,1.2665,0.02093
8.0,1.287,0.02113
8.25,1.306,0.02135
8.5,1.3234,0.02158
8.75,1.3392,0.02184
9.0,1.3534,0.02212
9.25,1.3646,0.02253
9.5,1.3728,0.02309
9.75,1.376,0.02387
10.0,1.374,0.02495
10.25,1.3681,0.0265
10.5,1.3595,0.02849
10.75,1.3515,0.03072
11.0,1.3452,0.03307
11.25,1.3408,0.03543
11.5,1.338,0.03781
12.0,1.3393,0.04231
12.25,1.3431,0.04447
12.5,1.3482,0.04651
12.75,1.3569,0.04845
13.0,1.3639,0.05043
13.25,1.3807,0.05204
13.5,1.3873,0.05418
13.75,1.3962,0.05617
14.0,1.4195,0.05784
14.25,1.4218,0.06042
14.5,1.4265,0.063
14.75,1.4302,0.06559
15.0,1.4433,0.0677
15.25,1.4486,0.07107
15.5,1.4362,0.07494
15.75,1.4237,0.07918
16.0,1.4091,0.0838
16.25,1.3921,0.08888
16.5,1.3727,0.09448
16.75,1.3507,0.10075
17.0,1.326,0.10781
17.25,1.2986,0.11582
17.5,1.2684,0.12499
17.75,1.2357,0.13547
18.0,1.202,0.14726
