alpha,cl,cd
-8.0,-0.4231,0.00889
-7.75,-0.3953,0.00873
-7.5,-0.3673,0.00855
-7.25,-0.3397,0.0083
-7.0,-0.3117,0.00812
-6.75,-0.2837,0.00799
-6.5,-0.2554,0.00784
-6.25,-0.2275,0.00767
-6.0,-0.1992,0.00754
-5.75,-0.1711,0.00743
-5.5,-0.1429,0.00728
-5.25,-0.1146,0.00718
-5.0,-0.0865,0.00708
-4.75,-0.0582,0.00698
-4.5,-0.0299,0.00689
-4.25,-0.0017,0.00681
-4.0,0.0266,0.00674
-3.75,0.0549,0.00667
-3.5,0.0831,0.0066
-3.25,0.1113,0.00656
-3.0,0.1395,0.00651
-2.75,0.1678,0.00646
-2.5,0.1961,0.00642
-2.25,0.2243,0.00639
-2.0,0.2524,0.00637
-1.5,0.3088,0.00632
-1.25,0.3371,0.0063
-1.0,0.3652,0.00629
-0.75,0.3933,0.00629
-0.5,0.4215,0.00626
-0.25,0.4497,0.00625
0.0,0.4778,0.00625
0.25,0.506,0.00624
0.5,0.5342,0.00621
0.75,0.5621,0.00618
1.0,0.5901,0.00605
1.25,0.6173,0.00588
1.5,0.645,0.00572
1.75,0.672,0.00559
2.0,0.6981,0.00541
2.25,0.72,0.00525
2.5,0.7564,0.0053
2.75,0.7877,0.00538
3.0,0.8149,0.00549
3.25,0.8428,0.00556
3.5,0.8702,0.00567
3.75,0.8978,0.00577
4.0,0.925,0.0059
4.25,0.9524,0.00601
4.5,0.9794,0.00616
4.75,1.006,0.00633
5.0,1.0325,0.00652
5.25,1.0587,0.00672
5.5,1.0846,0.00695
5.75,1.11,0.0072
6.0,1.1347,0.00752
6.25,1.1593,0.00784
6.5,1.1828,0.00823
6.75,1.2059,0.00865
7.0,1.2284,0.00911
7.25,1.2505,0.00958
7.5,1.272,0.01009
7.75,1.2934,0.01058
8.0,1.3153,0.01103
8.25,1.3364,0.01152
8.5,1.3579,0.01195
8.75,1.3795,0.01235
9.0,1.4009,0.01275
9.25,1.4219,0.01315
9.5,1.4423,0.01356
9.75,1.4626,0.01395
10.0,1.4813,0.01434
10.25,1.4984,0.01477
10.5,1.5157,0.01519
10.75,1.5325,0.01564
11.0,1.5485,0.01615
11.25,1.5655,0.0166
11.5,1.581,0.01715
11.75,1.5954,0.01777
12.0,1.6114,0.01831
12.25,1.626,0.01895
12.5,1.6389,0.0197
12.75,1.6519,0.02047
13.0,1.666,0.02119
13.25,1.6787,0.02202
13.5,1.6902,0.02296
13.75,1.6999,0.02405
14.0,1.7091,0.02521
14.25,1.7206,0.02625
14.5,1.731,0.0274
14.75,1.7399,0.02869
15.0,1.7477,0.03013
15.25,1.754,0.03173
15.5,1.7575,0.03361
15.75,1.7615,0.03554
16.0,1.7681,0.03728
16.25,1.7734,0.03921
16.5,1.7776,0.04128
16.75,1.781,0.04351
17.0,1.783,0.04595
17.25,1.7839,0.04856
17.5,1.7835,0.05137
17.75,1.7818,0.05441
18.0,1.7782,0.05774
