alpha,cl,cd
-8.0,-0.4293,0.00825
-7.75,-0.4012,0.0081
-7.5,-0.3728,0.00799
-7.25,-0.3446,0.00786
-7.0,-0.3164,0.00773
-6.75,-0.2879,0.00764
-6.5,-0.2597,0.00753
-6.25,-0.2312,0.00742
-6.0,-0.203,0.00735
-5.75,-0.1745,0.00724
-5.25,-0.1177,0.0071
-4.75,-0.0608,0.00696
-4.5,-0.0322,0.00692
-4.25,-0.0037,0.00684
-4.0,0.0247,0.00681
-3.75,0.0532,0.00676
-3.5,0.0817,0.00671
-3.25,0.1101,0.0067
-3.0,0.1387,0.00665
-2.75,0.1671,0.00661
-2.5,0.1955,0.00661
-2.25,0.2242,0.00656
-2.0,0.2525,0.00655
-1.75,0.2811,0.00652
-1.5,0.3097,0.00652
-1.25,0.3382,0.00649
-1.0,0.3667,0.00648
-0.75,0.3953,0.00646
-0.5,0.4237,0.00647
-0.25,0.4524,0.00644
0.0,0.4807,0.00645
0.25,0.5095,0.00643
0.5,0.538,0.00641
0.75,0.5662,0.00642
1.0,0.595,0.00639
1.25,0.6234,0.00636
1.5,0.6514,0.00633
1.75,0.6795,0.0062
2.0,0.7075,0.0061
2.25,0.7353,0.00605
2.5,0.7631,0.00601
2.75,0.7913,0.00595
3.0,0.8189,0.0059
3.25,0.8457,0.00588
3.5,0.8724,0.0058
3.75,0.8971,0.00577
4.0,0.9215,0.00585
4.25,0.9535,0.00592
4.5,0.9883,0.00609
4.75,1.0225,0.00621
5.0,1.0473,0.00636
5.25,1.0725,0.00652
5.5,1.0981,0.00667
5.75,1.1232,0.00687
6.0,1.1481,0.00708
6.25,1.1735,0.00727
6.5,1.1984,0.00749
6.75,1.2228,0.00774
7.0,1.2468,0.00801
7.25,1.2703,0.0083
7.5,1.2935,0.0086
7.75,1.3162,0.00893
8.0,1.3383,0.00927
8.25,1.3599,0.00963
8.5,1.3808,0.01001
8.75,1.4008,0.0104
9.0,1.4196,0.01081
9.25,1.4367,0.01122
9.5,1.4533,0.01166
9.75,1.4699,0.01212
10.25,1.5034,0.01304
10.5,1.5199,0.01353
10.75,1.5359,0.01404
11.25,1.5679,0.01511
11.5,1.583,0.0157
11.75,1.5974,0.01634
12.0,1.6133,0.01692
12.25,1.6266,0.01765
12.5,1.6421,0.01828
12.75,1.6547,0.0191
13.0,1.6689,0.01984
13.25,1.6811,0.02072
13.5,1.6934,0.02162
13.75,1.7063,0.02252
14.0,1.7163,0.02362
14.25,1.7276,0.02467
14.5,1.7386,0.02577
14.75,1.7468,0.02711
15.0,1.7558,0.02841
15.25,1.7652,0.02974
15.5,1.7731,0.03124
15.75,1.7792,0.03293
16.0,1.7861,0.03459
16.25,1.793,0.0363
16.5,1.7986,0.03818
16.75,1.8024,0.04027
17.0,1.8044,0.04256
17.25,1.8088,0.04468
17.5,1.8121,0.04697
17.75,1.8139,0.04945
18.0,1.8143,0.05211
