alpha,cl,cd
-8.0,-0.8494,0.02075
-7.75,-0.8296,0.02003
-7.5,-0.8106,0.01916
-7.25,-0.7913,0.0185
-7.0,-0.7731,0.0177
-6.75,-0.7536,0.01708
-6.25,-0.7158,0.01579
-6.0,-0.6974,0.01513
-5.75,-0.678,0.01457
-5.5,-0.6589,0.014
-5.25,-0.6392,0.01351
-5.0,-0.6191,0.01308
-4.75,-0.5988,0.01268
-4.5,-0.578,0.01233
-4.25,-0.5569,0.01202
-4.0,-0.5354,0.01176
-3.75,-0.5135,0.01154
-3.5,-0.4911,0.01134
-3.25,-0.4684,0.01118
-3.0,-0.4457,0.01105
-2.75,-0.423,0.01094
-2.5,-0.3943,0.01084
-2.25,-0.3503,0.01076
-2.0,-0.309,0.01065
-1.75,-0.268,0.01056
-1.5,-0.2251,0.01048
-1.25,-0.1868,0.0104
-1.0,-0.1415,0.01034
-0.75,-0.1061,0.01028
-0.5,-0.0704,0.01024
-0.25,-0.0337,0.0102
0.0,-0.0,0.01018
0.25,0.0337,0.0102
0.5,0.0704,0.01024
0.75,0.1062,0.01028
1.0,0.1415,0.01033
1.25,0.1868,0.0104
1.5,0.2252,0.01048
1.75,0.268,0.01056
2.0,0.309,0.01065
2.25,0.3503,0.01076
2.5,0.3942,0.01084
2.75,0.4229,0.01094
3.0,0.4456,0.01105
3.25,0.4683,0.01118
3.5,0.491,0.01134
3.75,0.5134,0.01153
4.0,0.5353,0.01176
4.25,0.5568,0.01202
4.5,0.578,0.01232
4.75,0.5987,0.01267
5.0,0.619,0.01307
5.25,0.6392,0.01351
5.5,0.6588,0.014
5.75,0.6779,0.01457
6.0,0.6973,0.01513
6.25,0.7157,0.01579
6.5,0.7342,0.01648
6.75,0.7536,0.01707
7.0,0.773,0.0177
7.25,0.7913,0.0185
7.5,0.8106,0.01916
7.75,0.8296,0.02003
8.0,0.8494,0.02075
8.25,0.8685,0.02184
8.5,0.889,0.02257
8.75,0.909,0.0236
9.0,0.9291,0.02484
9.25,0.9492,0.02573
9.5,0.9693,0.02671
9.75,0.9892,0.02857
10.0,1.007,0.02976
10.25,1.0247,0.03099
10.5,1.0426,0.03212
10.75,1.0613,0.03435
11.0,1.0716,0.03626
11.25,1.0794,0.03836
11.5,1.0847,0.0406
11.75,1.0889,0.04274
12.0,1.0951,0.04454
12.25,1.1021,0.0461
12.5,1.1048,0.04827
12.75,1.0982,0.05164
13.0,1.0818,0.05547
13.25,1.0617,0.05932
13.5,1.0402,0.06395
14.0,0.9857,0.07627
14.25,0.5306,0.15302
14.5,0.5443,0.15492
14.75,0.5675,0.15781
15.0,0.5369,0.16118
15.25,0.5167,0.16313
15.5,0.5183,0.16525
15.75,0.5241,0.16726
16.0,0.5382,0.16963
16.25,0.5573,0.17402
16.5,0.5321,0.17567
16.75,0.5201,0.17786
17.0,0.5233,0.18008
17.25,0.5307,0.18207
17.5,0.5465,0.18492
17.75,0.5551,0.1892
18.0,0.5327,0.1903
